word,count,accuracy
tela,1,0.0
cornice,2,0.0
infatti,3,0.0
pazza,1,0.0
sudato,3,0.0
verso,1,0.0
cinque,1,0.0
soltanto,1,0.0
programmarlo,1,0.0
l'hanno,6,0.0
frittata,7,0.0
tv,1,0.0
l'abbiamo,3,0.0
l'ha,5,0.0
camion,1,0.0
collegata,1,0.0
intera,1,0.0
riempire,2,0.0
frigo,1,0.0
seguire,2,0.0
enne,1,0.0
tumoretto,1,0.0
"mattina,",1,0.0
"lavoro,",1,0.0
luca.,1,0.0
l'altra,13,0.0
l'ho,28,0.0
buon'idea,1,0.0
bagnati,1,0.0
l'altro,3,0.0
c'è,33,0.0
brava,1,0.0
bravissima,1,0.0
l'allergia,1,0.0
demotivati,1,0.0
secca,1,0.0
diventa,1,0.0
assegnati,1,0.0
dati,1,0.0
vederlo,1,0.0
capdanno,1,0.0
e',12,0.0
trasferimento,1,0.0
un'attaccatura,1,0.0
eh,6,0.0
n'è,3,0.0
cartoni,3,0.0
cominciando,1,0.0
affitta,1,0.0
vi,3,0.0
dopodiché,4,0.0
poteva,1,0.0
perchè,5,0.0
l'hai,8,0.0
t'ho,3,0.0
"ginocchio,",1,0.0
l'ultimo,5,0.0
n'e,1,0.0
po',13,0.0
giovedi,2,0.0
l'albero,3,0.0
"giulietta,",1,0.0
"si,",1,0.0
arrivo,1,0.0
nell'altra,1,0.0
"sì,",3,0.0
dodici,1,0.0
"ehi,",3,0.0
"luca,",8,0.0
contratto,3,0.0
stati,2,0.0
pupetti,2,0.0
richiamo,1,0.0
gabriele?,1,0.0
costa,1,0.0
riescono,1,0.0
disponibile?,1,0.0
"chiamarti,",1,0.0
letto?,1,0.0
"letto,",2,0.0
appiccicare,1,0.0
entrati,1,0.0
ufficio,2,0.0
all'ufficio,1,0.0
"no,",3,0.0
andarci,1,0.0
entra,1,0.0
"sei,",2,0.0
c'era,5,0.0
starai,7,0.0
c'e,2,0.0
"casa,",1,0.0
quest'ora,8,0.0
un'altra,10,0.0
piu,2,0.0
andra',1,0.0
buongiorno!,1,0.0
farsi,2,0.0
mettette,1,0.0
sfilata,4,0.0
rimasto,2,0.0
"io,",2,0.0
svegliare,1,0.0
costo,1,0.0
l'armadio,1,0.0
sì,2,0.0
pero,2,0.0
coricarci,1,0.0
l'età,1,0.0
all'altra,1,0.0
quasi,1,0.0
muri,1,0.0
l',1,0.0
sveglierai,1,0.0
rincoglionita,1,0.0
dall'anestesia,1,0.0
un'ottima,1,0.0
trasparenti,1,0.0
com'è,6,0.0
"oggi,",1,0.0
diegolino,1,0.0
all'una,2,0.0
vicenza,1,0.0
l'autobus,2,0.0
"mio,",4,0.0
l'idea,1,0.0
mezz'oretta,2,0.0
vabbè,1,0.0
"c'è,",1,0.0
"papà,",1,0.0
pantaloncini,1,0.0
l'attività,1,0.0
specie,1,0.0
curva,2,0.0
l'è,1,0.0
riporti,1,0.0
"mia,",1,0.0
famiglia.,1,0.0
faro,1,0.0
mangia,1,0.0
compriamo,2,0.0
l'attrezzatura,3,0.0
aggiornata,1,0.0
mandata,1,0.0
tu?,1,0.0
dispiace,1,0.0
sposti,1,0.0
puzzle,1,0.0
"questo,",1,0.0
rifare,1,0.0
telefonarti,1,0.0
soprattutto,2,0.0
vasteddù,1,0.0
l'immagine,4,0.0
blu,1,0.0
l'attaccatura,1,0.0
l'università,1,0.0
lasciare,1,0.0
l'ufficio,1,0.0
piene,1,0.0
l'aereo,2,0.0
l'appuntamento,2,0.0
tipo,1,0.0
tranquillizare,2,0.0
cosi',1,0.0
reincomincio,1,0.0
tovaglioli,1,0.0
dello,1,0.0
tettoia,1,0.0
condisce,1,0.0
prosciutto,2,0.0
d'accordo,2,0.0
bagnate,1,0.0
l'ora,1,0.0
prego,1,0.0
all'asilo,1,0.0
riunioni,1,0.0
aiuterò,1,0.0
giustamente,1,0.0
cervello,1,0.0
andata?,1,0.0
tradotto,1,0.0
addormentato,1,0.0
diventi,1,0.0
all'attaccatura,1,0.0
scherzando,1,0.0
"eh,",1,0.0
pipi,2,0.0
dov'è,1,0.0
farai,1,0.0
curetta,1,0.0
lavo,1,0.0
qual'è,1,0.0
stamattina?,1,0.0
dall'età,3,0.0
sara,1,0.0
all'orecchio,1,0.0
veniva,1,0.0
asciugare,2,0.0
divise,1,0.0
dollari,1,0.0
portava,1,0.0
dall'estetista,2,0.0
cuccioletti,1,0.0
tranquillizza,1,0.0
contenti,1,0.0
puntuale,1,0.0
"indovinato,",1,0.0
soprannome,2,0.0
dell'armadio,1,0.0
"pippo,",2,0.0
dipingevano,1,0.0
"buongiorno,",1,0.0
renderlo,1,0.0
mangiata,1,0.0
quale,3,0.0
completo,1,0.0
vive,1,0.0
all'inizio,1,0.0
macchietta,1,0.0
"messaggi,",1,0.0
meetings,1,0.0
"ok,",1,0.0
"cucciolo,",1,0.0
seccata,1,0.0
formano,1,0.0
squillato,1,0.0
anch'io,1,0.0
"fisica,",1,0.0
innervato,1,0.0
l'impegno,1,0.0
"umano,",1,0.0
caricare,1,0.0
maschietto,1,0.0
gita,2,0.0
libero,2,0.0
svegli,1,0.0
"presto,",1,0.0
anziché,1,0.0
pensavo,1,0.0
l'avevi,1,0.0
fatemi,1,0.0
posizionare,1,0.0
legno,1,0.0
formissima,1,0.0
in'altra,1,0.0
sappiamo,1,0.0
dopodomani,1,0.0
m'è,1,0.0
andati?,2,0.0
perdendo,1,0.0
pazienza,1,0.0
all'altro,1,0.0
coniglietto,1,0.0
l'appuntamenti,1,0.0
ed,1,0.0
pallone,1,0.0
studentessa,1,0.0
"assunta,",1,0.0
gasolio,1,0.0
materia,2,0.0
10,1,0.0
palle,1,0.0
squillare,1,0.0
diegolito,1,0.0
marrone,1,0.0
l'autobus?,1,0.0
febbre,1,0.0
fermi,1,0.0
obbiettivi,1,0.0
automaticamante,1,0.0
arrabiando,1,0.0
puliva,1,0.0
l'appiccichiamo,1,0.0
ascolti,1,0.0
tosta,1,0.0
glielo,1,0.0
rientrato,1,0.0
antonietta,1,0.0
auguri!,1,0.0
nell'ascensore,1,0.0
dando,1,0.0
l'avete,1,0.0
mostri,1,0.0
paio,1,0.0
permettono,1,0.0
programmiamo,1,0.0
nell'altro,1,0.0
papa,31,12.9
sua,6,16.7
cioè,5,20.0
stanotte,5,20.0
così,33,24.2
andrà,4,25.0
degli,4,25.0
spesa,3,33.3
alzo,3,33.3
faccia,3,33.3
voce,3,33.3
ansia,3,33.3
coppia,3,33.3
bravi,3,33.3
oscar,3,33.3
puo,3,33.3
trovare,3,33.3
dovrei,3,33.3
finisce,3,33.3
altre,3,33.3
pezzo,7,42.9
messe,2,50.0
pungo,2,50.0
parrucchiere,2,50.0
bagnata,2,50.0
ritorna,2,50.0
pasqua,2,50.0
contratti,2,50.0
cucinare,2,50.0
presi,2,50.0
chiaramente,6,50.0
trovano,2,50.0
doccia,4,50.0
sporcare,2,50.0
quelle,4,50.0
abituare,2,50.0
dovevo,10,50.0
sette,2,50.0
fidati,2,50.0
batte,4,50.0
tante,2,50.0
però,2,50.0
pazzo,2,50.0
ricoverata,4,50.0
casomai,2,50.0
ritiri,2,50.0
capita,2,50.0
aperto,2,50.0
uscito,2,50.0
rotto,4,50.0
impegni,2,50.0
capisci,2,50.0
sa,2,50.0
senno,4,50.0
spento,2,50.0
venirti,2,50.0
attraverso,2,50.0
quei,4,50.0
fogli,2,50.0
nascondo,2,50.0
storia,2,50.0
arancioni,2,50.0
reggiseni,2,50.0
tac,2,50.0
bacetto,2,50.0
sinistra,2,50.0
passata,2,50.0
pronta,2,50.0
consegnato,2,50.0
venerdi,2,50.0
controllarmi,2,50.0
disponibili,2,50.0
pensare,4,50.0
fatte,4,50.0
pesanti,2,50.0
demotivato,2,50.0
svegliata,2,50.0
alcuni,2,50.0
finire,2,50.0
preoccupano,2,50.0
batteria,2,50.0
terra,2,50.0
forno,2,50.0
eravamo,2,50.0
rimasti,2,50.0
resti,2,50.0
foglio,2,50.0
ad,10,60.0
riesci,5,60.0
dal,5,60.0
vieni,10,60.0
tocca,5,60.0
su,5,60.0
ricoverare,5,60.0
quanto,13,61.5
coricata,8,62.5
vedo,8,62.5
lavoretto,8,62.5
aspetto,16,62.5
andato,27,63.0
aprire,3,66.7
immagini,3,66.7
diego,6,66.7
ogni,24,66.7
escono,3,66.7
adatto,3,66.7
ricovero,3,66.7
sale,3,66.7
ascoltando,3,66.7
presenza,3,66.7
medici,3,66.7
ve,3,66.7
diventato,3,66.7
complicato,3,66.7
migliora,3,66.7
mezza,3,66.7
adesso,3,66.7
cercare,3,66.7
piccolini,3,66.7
mai,6,66.7
leggeri,3,66.7
apposto,3,66.7
tommaso,3,66.7
roberto,6,66.7
esci,3,66.7
balcone,3,66.7
nello,3,66.7
lucidi,3,66.7
rompono,3,66.7
documenti,3,66.7
demotiva,3,66.7
sveglio,3,66.7
pancia,3,66.7
anno,3,66.7
condivido,3,66.7
chiudo,3,66.7
società,3,66.7
bambini,10,70.0
tuo,59,71.2
troppo,7,71.4
persone,7,71.4
dici,7,71.4
stesso,7,71.4
colpa,11,72.7
insomma,11,72.7
aspetta,11,72.7
mangiato,15,73.3
vede,8,75.0
sul,4,75.0
sonno,12,75.0
giorno,28,75.0
deve,28,75.0
portano,4,75.0
diventano,4,75.0
rispondo,4,75.0
ada,4,75.0
divertito,4,75.0
altro,16,75.0
viva,4,75.0
montato,4,75.0
incomincio,4,75.0
metti,4,75.0
tornato,4,75.0
vedono,4,75.0
quel,4,75.0
beh,8,75.0
molto,8,75.0
cuginetta,4,75.0
stato,4,75.0
pulendo,4,75.0
olanda,4,75.0
eri,4,75.0
rumori,4,75.0
madre,4,75.0
cattivo,4,75.0
preparando,4,75.0
buon,65,75.4
andati,21,76.2
mattina,34,76.5
aspettando,17,76.5
colore,13,76.9
pranzo,22,77.3
stiamo,27,77.8
operato,9,77.8
meglio,14,78.6
venuta,10,80.0
diventare,5,80.0
arrivi,5,80.0
mettono,15,80.0
venuto,15,80.0
voi,15,80.0
biglietti,10,80.0
sente,5,80.0
giocato,5,80.0
sentito,5,80.0
tablet,10,80.0
vanno,10,80.0
incominciato,5,80.0
tornare,5,80.0
li,15,80.0
partita,5,80.0
venerdì,5,80.0
guidare,5,80.0
finisci,5,80.0
pare,5,80.0
capiamo,5,80.0
chiamata,5,80.0
programmare,5,80.0
umore,5,80.0
metto,16,81.2
sempre,11,81.8
uno,11,81.8
chi,11,81.8
parte,11,81.8
sta,47,83.0
messa,12,83.3
solo,36,83.3
sbaglio,6,83.3
ero,6,83.3
bisogna,6,83.3
damiano,6,83.3
orario,6,83.3
parlando,6,83.3
stavo,12,83.3
data,6,83.3
martedì,6,83.3
svizzera,12,83.3
trovata,6,83.3
preso,12,83.3
do,6,83.3
vedi,6,83.3
ricordi,6,83.3
giovedì,6,83.3
sia,6,83.3
appuntamenti,6,83.3
qualche,26,84.6
ha,90,85.6
quadro,7,85.7
questi,14,85.7
doveva,7,85.7
dai,14,85.7
muscoli,14,85.7
vaso,7,85.7
base,7,85.7
vado,14,85.7
comunque,7,85.7
anzi,7,85.7
rotelle,7,85.7
ne,71,85.9
è,438,86.3
al,37,86.5
pasta,15,86.7
secondo,15,86.7
faccio,53,86.8
cura,23,87.0
stasera,23,87.0
mia,71,87.3
noi,63,87.3
devo,80,87.5
giorni,24,87.5
basta,16,87.5
indovinato,8,87.5
nessuno,8,87.5
ragazze,8,87.5
vocale,8,87.5
fratello,8,87.5
piano,24,87.5
andate,16,87.5
caso,8,87.5
dimmi,8,87.5
accorta,8,87.5
può,33,87.9
viene,25,88.0
ce,50,88.0
tutti,88,88.6
divertente,9,88.9
lunedì,9,88.9
piccolino,9,88.9
materiale,9,88.9
ammazza,9,88.9
telefonico,9,88.9
ritirata,9,88.9
riguarda,9,88.9
mercoledì,9,88.9
avevo,9,88.9
vostro,9,88.9
dovevi,9,88.9
angioletta,9,88.9
serve,9,88.9
posto,18,88.9
tubi,9,88.9
suo,9,88.9
si,311,89.1
ci,315,89.2
fuori,19,89.5
letto,29,89.7
era,20,90.0
animali,10,90.0
comunicando,10,90.0
utile,10,90.0
sento,20,90.0
educatori,10,90.0
credo,10,90.0
brutto,10,90.0
fino,10,90.0
bomba,10,90.0
queste,10,90.0
sabato,10,90.0
va,84,90.5
tutte,21,90.5
andata,96,90.6
agatina,11,90.9
mettere,11,90.9
facciamo,11,90.9
se,115,91.3
sera,23,91.3
racconti,23,91.3
fatto,141,91.5
e,793,91.7
dove,96,91.7
arrivato,12,91.7
scusa,12,91.7
dico,24,91.7
problema,12,91.7
vinto,12,91.7
piccolo,37,91.9
tutta,52,92.3
dato,26,92.3
saluti,13,92.3
altri,13,92.3
infiammazione,13,92.3
ecco,26,92.3
combinato,13,92.3
esami,13,92.3
educazione,13,92.3
contatto,13,92.3
chiuso,13,92.3
richiami,13,92.3
quanti,13,92.3
benissimo,13,92.3
colorato,13,92.3
i,253,92.5
papà,94,92.6
tu,329,92.7
o,127,92.9
almeno,14,92.9
alti,14,92.9
figlio,14,92.9
bianca,14,92.9
prima,43,93.0
gli,43,93.0
meri,29,93.1
questa,73,93.2
chiami,30,93.3
l,30,93.3
poi,105,93.3
invece,30,93.3
piace,15,93.3
stai,105,93.3
contenta,15,93.3
lui,15,93.3
mandi,15,93.3
quelli,15,93.3
lo,196,93.4
ti,584,93.5
stata,48,93.8
intendo,16,93.8
allora,32,93.8
cose,32,93.8
aiuta,16,93.8
zio,16,93.8
alessio,48,93.8
comprare,16,93.8
state,16,93.8
ora,147,93.9
essere,33,93.9
parlare,17,94.1
aveva,17,94.1
niente,51,94.1
immagine,17,94.1
dicono,17,94.1
controllare,17,94.1
da,121,94.2
vincenza,52,94.2
qua,35,94.3
grazie,36,94.4
pipì,36,94.4
miei,18,94.4
tra,18,94.4
avere,18,94.4
le,128,94.5
te,280,94.6
quando,202,94.6
so,37,94.6
siete,19,94.7
mio,152,94.7
delle,19,94.7
bagno,19,94.7
fatta,19,94.7
dei,19,94.7
ehi,58,94.8
no,99,94.9
due,100,95.0
vuol,20,95.0
sai,20,95.0
scimmiotti,20,95.0
abbiamo,81,95.1
a,996,95.2
in,186,95.2
sotto,21,95.2
finito,21,95.2
martinuccia,21,95.2
tutto,107,95.3
andare,107,95.3
cosi,64,95.3
ho,352,95.5
durante,22,95.5
ieri,67,95.5
controllo,22,95.5
posso,45,95.6
lavorato,23,95.7
mal,46,95.7
catetere,46,95.7
assunta,23,95.7
via,23,95.7
andando,23,95.7
hei,23,95.7
questo,142,95.8
sto,236,95.8
quello,48,95.8
giuseppe,24,95.8
modo,24,95.8
dire,51,96.1
adrano,26,96.2
quindi,132,96.2
ancora,54,96.3
anni,54,96.3
san,27,96.3
me,197,96.4
sentiamo,112,96.4
mandato,56,96.4
non,442,96.4
nel,28,96.4
trovato,28,96.4
un,282,96.5
giulia,57,96.5
hai,292,96.6
per,320,96.6
voglia,29,96.6
sei,209,96.7
sono,397,96.7
ma,90,96.7
occhi,30,96.7
auguri,30,96.7
zia,93,96.8
giocare,31,96.8
disponibile,31,96.8
con,511,96.9
notte,32,96.9
della,64,96.9
detto,32,96.9
vecchia,33,97.0
del,67,97.0
siamo,70,97.1
pulire,35,97.1
ok,170,97.1
mamma,141,97.2
devi,71,97.2
giulietta,36,97.2
serata,73,97.3
po,37,97.3
fa,74,97.3
caldo,37,97.3
buona,156,97.4
io,813,97.5
una,203,97.5
capito,79,97.5
la,632,97.6
punto,82,97.6
nella,41,97.6
hanno,86,97.7
uscire,43,97.7
pochino,45,97.8
cosa,183,97.8
il,491,97.8
enza,90,97.8
fai,89,97.8
martina,46,97.8
che,899,97.9
pippo,47,97.9
sapere,48,97.9
dolore,47,97.9
anche,146,97.9
di,549,98.0
bene,294,98.0
antonella,51,98.0
36,51,98.0
stamattina,104,98.1
puoi,159,98.1
alessia,52,98.1
domani,156,98.1
visto,53,98.1
mi,615,98.2
scimmiotto,331,98.2
tempo,55,98.2
appena,56,98.2
come,173,98.3
fare,189,98.4
angela,61,98.4
oggi,133,98.5
giornata,71,98.6
oppure,69,98.6
pomeriggio,69,98.6
schiena,148,98.6
lavoro,145,98.6
ragazzi,71,98.6
male,78,98.7
casa,321,98.8
lavorare,82,98.8
domanda,93,98.9
chiamo,95,98.9
più,92,98.9
chiara,95,98.9
tua,105,99.0
luca,321,99.1
dopo,126,99.2
buongiorno,139,99.3
voglio,156,99.4
nostro,13,100.0
computer,34,100.0
terapia,78,100.0
servono,8,100.0
dieci,13,100.0
catania,40,100.0
ascolta,6,100.0
alla,55,100.0
sulla,4,100.0
giocando,57,100.0
rotta,17,100.0
ragione,5,100.0
ottime,2,100.0
notizie,2,100.0
altra,14,100.0
prendere,35,100.0
veronica,20,100.0
capelli,4,100.0
treno,5,100.0
alfredo,16,100.0
capo,7,100.0
comune,5,100.0
chiude,2,100.0
mangiare,27,100.0
happy,18,100.0
birthday,18,100.0
to,18,100.0
you,18,100.0
giorgina,1,100.0
giorgia,1,100.0
chiamare,15,100.0
perché,157,100.0
compleanno,10,100.0
nonnina,8,100.0
vero,23,100.0
famiglia,40,100.0
dovete,6,100.0
stirare,32,100.0
sole,26,100.0
uscita,21,100.0
vedere,29,100.0
tuoi,59,100.0
amici,17,100.0
maurizio,9,100.0
giusi,8,100.0
foto,26,100.0
padre,27,100.0
normale,36,100.0
addormentata,10,100.0
considerando,8,100.0
ultimi,1,100.0
compiti,29,100.0
classe,1,100.0
esatto,13,100.0
amica,5,100.0
ah,28,100.0
oltre,5,100.0
tenere,9,100.0
lei,5,100.0
ciao,73,100.0
belli,4,100.0
nipoti,10,100.0
coso,14,100.0
verde,10,100.0
vicino,7,100.0
parola,31,100.0
scritto,18,100.0
stirando,5,100.0
tagliarmi,1,100.0
raccontare,36,100.0
esperienza,1,100.0
usare,8,100.0
qualcosa,8,100.0
rompere,1,100.0
plastica,5,100.0
usciti,3,100.0
asia,5,100.0
settimana,25,100.0
vediamo,47,100.0
paura,3,100.0
sindaco,2,100.0
bel,7,100.0
piccola,59,100.0
avuto,16,100.0
risposto,4,100.0
ritardo,1,100.0
divano,10,100.0
incavolando,5,100.0
chiamato,16,100.0
rispondi,18,100.0
comunicare,8,100.0
mando,14,100.0
palestra,4,100.0
studiato,2,100.0
buttarmi,3,100.0
cuore,39,100.0
rosso,15,100.0
maschera,1,100.0
carnevale,1,100.0
avete,23,100.0
cercato,5,100.0
centro,45,100.0
respiro,43,100.0
primo,4,100.0
vacanza,13,100.0
carte,9,100.0
divertita,4,100.0
venire,28,100.0
contattare,5,100.0
volta,18,100.0
volte,18,100.0
dice,10,100.0
dottore,43,100.0
curando,3,100.0
piccolina,12,100.0
buone,3,100.0
vacanze,6,100.0
sicura,10,100.0
negli,4,100.0
globuli,12,100.0
bianchi,13,100.0
neve,17,100.0
prendendo,14,100.0
dormire,11,100.0
francesco,15,100.0
altrimenti,8,100.0
vuoi,17,100.0
loro,16,100.0
messi,11,100.0
nuova,27,100.0
usiamo,2,100.0
incontri,5,100.0
possiamo,12,100.0
giovanni,27,100.0
punta,28,100.0
ritira,4,100.0
nipote,12,100.0
comporto,7,100.0
freddo,26,100.0
vecchio,14,100.0
macchina,20,100.0
stimolata,2,100.0
alcune,10,100.0
dicendo,15,100.0
vostra,10,100.0
dovuto,12,100.0
preparare,12,100.0
incontro,8,100.0
fammi,7,100.0
età,11,100.0
spero,19,100.0
davanti,8,100.0
pressione,1,100.0
bassa,1,100.0
vai,14,100.0
dagli,4,100.0
nostra,12,100.0
pulito,7,100.0
solito,3,100.0
fisica,14,100.0
minuti,4,100.0
cui,23,100.0
interessa,4,100.0
proposito,3,100.0
aiutare,16,100.0
dispensa,1,100.0
stare,25,100.0
grande,9,100.0
telefono,31,100.0
musica,15,100.0
automaticamente,2,100.0
elisa,13,100.0
sofia,22,100.0
tardi,32,100.0
sopra,8,100.0
presa,7,100.0
ospedale,16,100.0
togliere,3,100.0
vuole,25,100.0
calmare,4,100.0
mese,10,100.0
parenti,6,100.0
ormai,15,100.0
continuare,18,100.0
milano,11,100.0
periodo,7,100.0
rilassi,5,100.0
scrivi,3,100.0
whatsapp,21,100.0
testa,14,100.0
lorena,7,100.0
rosaria,9,100.0
racconto,10,100.0
riccardo,17,100.0
rimasta,3,100.0
chiedo,11,100.0
capisco,7,100.0
attività,16,100.0
novità,7,100.0
scuola,13,100.0
dispositivo,1,100.0
tiene,2,100.0
morbida,1,100.0
dormito,15,100.0
momento,15,100.0
scaricato,1,100.0
vedendo,1,100.0
sentire,13,100.0
nuove,6,100.0
discorso,5,100.0
disegnato,3,100.0
colleghi,8,100.0
facevano,1,100.0
vestiti,12,100.0
deciso,4,100.0
riposare,3,100.0
pulmino,14,100.0
c,16,100.0
cucciola,9,100.0
seconda,9,100.0
parti,4,100.0
dimenticando,1,100.0
bisogno,30,100.0
tito,25,100.0
volevo,8,100.0
cuoricino,2,100.0
usciamo,1,100.0
andiamo,6,100.0
purtroppo,4,100.0
magica,3,100.0
facendo,43,100.0
ritornerai,3,100.0
evitare,5,100.0
muro,4,100.0
appoggi,2,100.0
chiedi,1,100.0
faranno,3,100.0
abituato,2,100.0
chiudi,1,100.0
poco,22,100.0
fanno,11,100.0
galline,3,100.0
completato,2,100.0
n,2,100.0
mamme,1,100.0
camminando,1,100.0
difficile,4,100.0
collaboratori,5,100.0
pioggia,25,100.0
cuginetti,2,100.0
incominci,1,100.0
vivace,1,100.0
diventata,4,100.0
chiudere,7,100.0
diverti,1,100.0
accompagnare,2,100.0
gruppo,3,100.0
